Match,Bulk,Category,Company,City,Phone,Email,Website,Buys
100,yes,Medical equipment supplier,Al Baddya Medical Equipment Tr LLC,"Office 39&40, Crystal Plaza, King Faisal Street, Al Majaz 1",+97165220900,sales@albaddya.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Canway Medical Equipment LLC,"Office 2, Al Safeer Plaza, Al Khattbroad Fish Roundabout, Deira",+97144514824,medical@canwaymed.ae,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,,Medical equipment supplier,Saltom Medical Equip Trading LLC,"Opp. China mall, Al Jurf 1, New Industrial Area",+97167443328,saltomuae@gmail.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,AOne Medical Equipment LLC,"Shop no. 2, Al Fairouz Building, Old Maktoum Hospital Road, Deira",+97144483032,info@aonemedical.ae,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Adamsmed Medical Equipment Trading LLC,"B-05, Al Wasl Bldg, WASL District, Deira",+97143218048,sales@adamsmed.ae,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Al Amir Medical Equipment & Supplies Est.,,+97126417120,sales@alamirmedical.ae,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Apolo Medical Equipment Trading LLC,"Bin Jarsh Building Fish Round About, Al Rigga Deira",+971566636522,apollomeds2024@gmail.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Corhaven Medical Equipment Trading LLC,Deira,+97142277561,corhaven.hasanhaji@gmail.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Curetech Medical Equipment Trading LLC,"Hor Al Anz, Deira",+971582563305,info@curetechmedical.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,,Medical equipment supplier,Medi Star Medical Surgical Articles Requisites Trading Co LLC,"Shop 11, Afra Albadoor Bldg, Opp Emirates Post, Al Nakhal Rd, St 1",+97142590880,medistarmedicaluae@gmail.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Medistar Medical Equipment Trading LLC,"Shop No 11, Afra Abdullah Al Badoor Building, Behind Dorus Hotel, Al Nakhal Street, Deira",+971542993052,shankar@medistarmedical.com,https://medistarmedical.com/,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,MRJ Medical Equipment Trading LLC,"Office 10 20th Floor, Twin Towers, Baniyas road, Deira",+971543980707,info@mrjtrade.ae,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Noble Medical Equipment,"Shop No 22, Ground Floor,  Asmawi Building",+97143255045,info@noblemedical.ae,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Noor Al Qamar Medical Equipment Trading LLC,"204, Bin Demaithan Building, Damascus st",+97142352812,nihasvadakkan21@gmail.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Sky Land Medical Supplies Trading LLC,"Office 134, Opp LuLu Staff Accomodation, M36",+97126421662,skylandmedicals@gmail.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier / Medical laboratory,Bionex Medical Equipment LLC,"Shop 13, Binjarish Building, Fish Round About, Deira",+97148763843,sales@bionexmed.com,https://bionexmed.com,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
