Type,Product,Company/Buyer,Country,City,Phone,Website,Detail
GE tender,Rubber tiles (gym / outdoor),კასპის მუნიციპალიტეტი,GE,,,,MRS260044354 | deadline 03.08.2026 13:00 | CPV 37400000
GE tender,Rubber tiles (gym / outdoor),ნინოწმინდის მუნიციპალიტეტის მერია,GE,,,,MRS260044277 | deadline 31.07.2026 14:30 | CPV 37400000
GE tender,Rubber tiles (gym / outdoor),გორის მუნიციპალიტეტის სპორტის განვითარებისა და ხელშეწყობის სააგენტო,GE,,,,MRS260044249 | deadline 03.08.2026 12:00 | CPV 37400000
GE tender,Rubber tiles (gym / outdoor),მარტვილის მუნიციპალიტეტის მერია,GE,,,,MRS260044109 | deadline 31.07.2026 15:00 | CPV 37400000
GE tender,Rubber tiles (gym / outdoor),ბათუმის შოთა რუსთაველის სახელმწიფო უნივერსიტეტი,GE,,,,MRS260044091 | deadline 03.08.2026 15:00 | CPV 37400000
GE tender,Rubber tiles (gym / outdoor),ა(ა)იპ ბათუმის სპორტული ცენტრი,GE,,,,MRS260044077 | deadline 31.07.2026 12:00 | CPV 37400000
GE tender,Rubber tiles (gym / outdoor),ქარელის მუნიციპალიტეტი,GE,,,,MRS260044061 | deadline 31.07.2026 12:00 | CPV 37400000
GE venue,Rubber tiles (buyer),ასპრია,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),BLUE FITNES,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),"Ambrolauri municipality NNJP wrestling club ""Falavani""",GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),სპორტ დარბაზი,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),აუზი,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),სპარტა ფიტნესი,GE,,+995 598 55 56 70,,gym / fitness centre
GE venue,Rubber tiles (buyer),სპორტული დარბაზი,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),იოგას სახლი,GE,,+995 551 11 52 88,https://www.yoga.ge/,gym / fitness centre
GE venue,Rubber tiles (buyer),ჩემპიონთა აკადემია,GE,,,https://champ.ge/,gym / fitness centre
GE venue,Rubber tiles (buyer),City Fitness,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),ჰარდ ვეი,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),World Feetness,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),სპარტა,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),ენერჯიმი,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),ოკტოპუს ფიტნეს კლუბი,GE,,+995 32 230 18 88,https://www.oktopus.ge,gym / fitness centre
GE venue,Rubber tiles (buyer),Fit Line,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),პაუერ მაქს,GE,,+995 599 97 74 80,https://powermax.ge,gym / fitness centre
GE venue,Rubber tiles (buyer),აკვა ცენტრი და ფიტნესი,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),Snap-Fitness,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),მატა ფიტნესი,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),Olympia Fitness Club,GE,,+995 555 88 20 20,,gym / fitness centre
GE venue,Rubber tiles (buyer),წრე,GE,,+995 32 214 90 06,,gym / fitness centre
GE venue,Rubber tiles (buyer),საკემატა ფიტნესი,GE,თბილისი,+995 32 219 55 11,https://www.sakematafitness.ge/ka,gym / fitness centre
GE venue,Rubber tiles (buyer),Underground Gym,GE,,,https://www.facebook.com/UndegroundGym/,gym / fitness centre
GE venue,Rubber tiles (buyer),Tbilisi yoga villa,GE,,,https://tbilisiyoga.com/en/villa,gym / fitness centre
