Product,Role,Company,Country,City,Contact Person,Email,Phone,Website,HS Code,Indicative Price,Notes
Cold asphalt (bagged cold-mix),Georgia buyer,Geoconcrete (Georgian Concrete Club),Georgia,"Mtskheta (branches in Kutaisi, Batumi)",,info@geoconcrete.ge,+995 32 2 83 80 80,https://geoconcrete.ge/,2715,,"Best-fit target: an existing importer/distributor of a branded cold-mix pothole patch (FlexoPatch), so a natural channel/reseller for a competing or additional cold asphalt supply. Operates 24/7, three branches, established 2011."
Cold asphalt (bagged cold-mix),Georgia buyer,GR Group (GRgroup),Georgia,Tbilisi,,office@grgroup.ge,+995 32 243 30 33,https://www.grgroup.ge/,2715,,Road maintenance firm and end-user. Runs its own hot-mix plants but is a realistic buyer of bagged cold-mix for winter/emergency pothole and utility-cut patching. Founded 2013.
Cold asphalt (bagged cold-mix),Georgia buyer,RoadTech Georgia,Georgia,Tbilisi,Sandro,sandro@roadtech.ge,+995 557 59 57 09,https://roadtech.ge/en/,2715,,Active paving contractor and direct end-user; bagged cold asphalt fits their district-road and street-repair work. Named contact email published on site.
Cold asphalt (bagged cold-mix),Georgia buyer,Tesen Group,Georgia,Tbilisi,,info@tesengroup.ge,+995 511 111 771,https://www.tesengroup.com/,2715,,"Dual fit: end-user (road rehabilitation) and potential distributor via Tesen Trade. Produces its own bitumen emulsion, so technically capable and a credible reseller/importer of ready-made cold patch. Active since 2013."
Cold asphalt (bagged cold-mix),Georgia buyer,Company Black Sea Group,Georgia,Tbilisi,,info@bsg.com.ge,+995 322 20 74 74,https://bsg.com.ge/,2715,,"One of Georgia's largest road-rehabilitation contractors, so a high-volume end-user for patching materials. Note: website SSL certificate is currently expired (site otherwise resolves); company presence confirmed via multiple directories."
Cold asphalt (bagged cold-mix),Georgia buyer,GeoEngineering Ltd,Georgia,Tbilisi,,contact@geoengineering.ge,+995 599 53 00 83,https://www.geoengineering.ge/,2715,,"Involved in municipal road infrastructure and maintenance projects, so a plausible specifier/buyer of cold patch on road works. Note: https certificate expired (http site and directories confirm the company). Phone from Tbilisi business directory."
Cold asphalt (bagged cold-mix),Georgia buyer,Roads Department of Georgia (Sakartvelos Saavtomobilo Gzebis Departamenti),Georgia,Tbilisi,,info@georoad.ge,+995 32 237 05 08,https://www.georoad.ge/?lang=eng,2715,,Institutional/municipal buyer channel. Does not buy directly off-catalogue but sets specifications and runs procurement (tenders.gov.ge) that its maintenance contractors fulfil; the largest single driver of road-patch demand in the country.
Cold asphalt (bagged cold-mix),Georgia buyer,Cold Asphalt (civi asfalti reseller),Georgia,Georgia (city not stated),,,,https://www.facebook.com/p/Cold-Asphalt-100064220282212/,2715,,"Genuine niche cold-asphalt reseller and therefore a direct topical buyer/distributor lead, but only a Facebook presence was found - no standalone website, phone or email surfaced, so treat as a starting contact only."
Cold asphalt (bagged cold-mix),Iran seller,"Danesh Royan Yekta Mandegar Co. — brand ""Fixalt"" (شرکت دانش رویان یکتا ماندگار)",Iran,Tehran,,info@yektamandegar.com,+98 935 193 8600 / +98 21 4601 6872,https://yektamandegar.com,2715.00,,Genuine manufacturer of a branded bagged cold-patch product; working site with product + contact. Tehran domestic focus; export not stated — would need an export intermediary. Price on request (states it fluctuates).
Cold asphalt (bagged cold-mix),Iran seller,"Cons-Tech — brand ""Fix Patch"" (کانتک، تکنولوژی‌های نوین راه تونل و ساختمان)",Iran,Tehran (021 landline),,info@cons-tech.com,+98 912 828 6400 / +98 21 4449 5136,https://cons-tech.com,2715.00,,Road/tunnel construction-tech firm selling a branded bagged cold-patch; working site with product + direct contact. Domestic Tehran orientation; export not confirmed.
