Category,Company,City,Phone,Website,Decora fit
Home-decor retailer,Intexture Design Interiors and Maintenance LLC SPC,"Office Number 24, 10th Floor,  Dar Al Salam, Near Al Madina Market, Liwa Street",+971566737358,,all families
Home-decor retailer,Matter Mind Decor and General Maintenance LLC,"Office 411, Al Fahim Building Musaffah, M4",+971542365212,,all families
Home-decor retailer,Art Smiley Art Gallery LLC (BIZ),Al Quoz Industrial Area 2,+97143236729,,all families
Home-decor retailer,Fabric Lab Interiors LLC,"Shop 1, C216, ME 11, Shabiya",+971528338571,,all families
Home-decor retailer,Deluxus Interiors,"9th Floor, Falcon Tower, Qaser Al Hoson, Hamdan Bin Mohammed Street",+97126333400,,all families
Home-decor retailer,Home Decor,"Office no. 1034, Northern Sector, Jurf Industrial 2",+971502947474,,all families
Home-decor retailer,Home Hub LLC,"Office No.103, White Swan Building, Trade Center First, Sheikh Zayed Road",+971506967858,,all families
Home-decor retailer,Jewel Of Desert FZ LLC,"Compass Building, Shohada Road, RAKEZ Free Zone",+971551850998,,all families
Home-decor retailer,Maestro Decor and General Maintenance SP LLC,"Office 201, Building 69, Defense Street, Al Nahyan",+971506102244,,all families
Home-decor retailer,Marhaba Promotional Gifts Preparing LLC,Al Quoz Industrial Area 4,+971559870164,,all families
Home-decor retailer,Mishka General Trade FZ LLC,"Compass building, Al Hamra Industrial Zone",+971564319505,,all families
Home-decor retailer,Naikjee,,+971542170191,,all families
Home-decor retailer / Tableware / serveware,Narrah Living,"Saeed Tower 1, Trade Centre 1, Sheikh Zayed Rd",+971585325844,,all families / serveware/tableware
Home-decor retailer,Oculus General Trading LLC,Al Qusais 2,+97142392284,,all families
Home-decor retailer,Pendulum Decor LLC,"Warehouse 3, Damascus Street, Al Qusais Industrial Area 2",+971505253362,,all families
Home-decor retailer,Tureeq Alejtihad Technical Services,"Naif, Deira",+971545479494,,all families
Home-decor retailer,Zaharat Al Mezeher General Trading LLC,"Naif Road, Deira",+971505393038,,all families
Home-decor retailer,Zennova Carpet,"First Al Khail Street, Al Quoz Industrial Area 3",+97143512770,,all families
Home-decor retailer,Winteriors Decor LLC,"1706, Concord Tower, Media City",+97143990226,,all families
Home-decor retailer,Al Ikhaa Contracting LLC,"Office 304, Garhoud Star",,,all families
Home-decor retailer,Right Concepts Advertising LLC,"Right Building, Street No. 26, Al Quoz 4",+97143212334,,all families
Home-decor retailer,Royal Great Land General Contracting LLC,"Office 48, 19th Floor, Al Ghaith Tower, Hamdan St",+971509856094,,all families
Home-decor retailer,Platinum Interiors LLC,"Near Lucky R/A, Indl Area 1",+97167481449,,all families
Home-decor retailer,Al Katheeb Interior Design LLC,"Warehouse No.01, Al Qusais Industrial Area 5",+97145843625,,all families
Home-decor retailer,4 Dimension Technical Works LLC,Al Quoz 2,+97143525295,,all families
Home-decor retailer,4 Style Interiors,"Behind Gemaco, Airport Rd",+97126215559,,all families
Home-decor retailer,5 Elements Interiors LLC,"Al Khabisi Rd, Deira",,,all families
Home-decor retailer,7 Routes Decoration Design and Fit Out,,+971553673376,,all families
Home-decor retailer,A & J Decor LLC,"202, Al Huda Bldg, Al Garhoud",+97142820094,,all families
Home-decor retailer,A & T Interiors LLC,"Office 804, ATI World Tower",+97143964121,,all families
Home-decor retailer,A B D Interiors LLC,"Lutha Warehouse No-12, Entrance-1, Jebel Ali Industrial Area 1",+97143477587,,all families
Home-decor retailer,A B M Designs LLC,Dubai,+97143933342,,all families
Home-decor retailer,A R Deco Decor And Furniture,"Near Sajna Steel, Industrial Area",+97165311139,,all families
Home-decor retailer,A Touch of Class Design and Decor,"Bhnd Adnoc, Opp Etisalat, Salam St",+97126771162,,all families
Home-decor retailer,A3 Design LLC,,+97143386861,,all families
Home-decor retailer,Aati Contracts,Garhoud Atrium,+97143331700,,all families
