#,country,city,company,email,type,match,phone,website
1,AF,Kabul,Helal Agricultural and Seeds Company (Helal Group),info@helalgroup.org.af,agri-input,90,+93790555222,https://www.helalgroup.org.af/
2,AF,Kabul,Amrovet Ltd (Amrovet Afghanistan),info@amrovet.com,agri-input,85,+93777600204,https://amrovet.com/
3,AF,Kabul,Almas Sabz Afghan Seed,info@almassabz.org.af,agri-input,78,+93799733833,https://almassabz.org.af/
4,AF,Mazar-e-Sharif,Drukhshan Balkh,info@drukhshanebalkh.com,agri-input,72,0799205180,http://www.drukhshanebalkh.com
5,AF,Jalalabad,Mashriqi-Wal Feed Mill,info@mashriqiwalfeed.com,feed,65,+93 799 16 7000,https://www.mashriqiwalfeedmill.com/
6,IQ,Erbil,AH Group Iraq (Rahala Alsahra feed additives),info@ahgroupiraq.com,importer/trader,90,+964 750 137 5025,https://www.ralsahra.com/
7,IQ,Erbil,Agrimatco (Agricultural Materials Trading Co.),agrimatco.kurdistan@agrimatco-me.com,agri-input,85,+964 772 266 0989,https://www.agrimatco-iraq.com
8,IQ,Babylon,Rayan For Oil Extraction & Feed Mill (Etihad Group),info@rayan.iq,feed,85,+964 781 942 4082,https://www.rayan.iq/
9,IQ,Erbil,VetCity,drahmadsusaey@gmail.com,feed,82,+964 750 818 2011,https://www.vetcityiq.com
10,IQ,Erbil,ARK Company,info@ark.krd,agrochem,80,+964 7704463508,https://ark.krd
11,IQ,Baghdad,House Agri Company,info@houseagri.net,agri-input,80,+964 790 133 0180,https://houseagri.net
12,IQ,Erbil,Yara Barz,info@yarabarz.com,feed,80,+964 750 445 9322,https://www.yarabarz.com
13,IQ,Baghdad,Green Solutions Co. for General Trading and Agricultural Supplies,info@greensolutions-iq.com,agri-input,78,+964 780 174 6938,https://greensolutions-iq.com
14,IQ,"Al Hilla, Babil",Ghadir Babil,info@ghadirbabil.com,feed,78,,https://ghadirbabil.com
15,IQ,Erbil,Iraq Feed Company (Barash Feed Company),info@iraqfeed.com,feed,78,009647507741144,https://www.iraqfeed.com
16,IQ,Erbil,Al Munqeth Group,info@almunqeth.com,feed,78,+964 774 080 8575,https://almunqeth.com/
17,IQ,Baghdad,Al Sadeq Group (Agriculture & Poultry Division),wael.falah@alsadeq-group.com,feed,78,,https://alsadeq-group.com
18,IQ,Baghdad,Zain Al Mutaqadima Animal Feed Production Company,info@zaingroup-me.com,feed,76,009647721000080,https://www.zainfeed.com
19,IQ,Basra,Khayrat Al-Khasib (Fusteka Group),info@alkhasib.com,feed,76,+964 771 999 2312,https://www.khayrat-alkhasib.com/
20,IQ,Karbala,Al-Waha Feed Mill (AlHachem Company),info@al-hachem.com.iq,feed,74,+9647901943823,https://al-hachem.com.iq
21,IQ,Sulaymaniyah,Agro Pro,agropro@agropro-iq.com,agri-input,74,+9647702122253,https://agropro-iq.com
22,IQ,Duhok,Sardar Harki,info@sardarharki.com,agri-input,72,00964(0)7504667717,https://www.sardarharki.com
23,IQ,Duhok,Kavin Group (Kavin Farm),info@kavin-group.com,feed,72,+964 750 006 6939,https://kavin-group.com/
24,IQ,Erbil,Guljwan Company,goljwan.company@yahoo.com,agri-input,70,+964 750 458 8826,https://www.guljwan-company.com/
25,IQ,Sulaymaniyah,Kar Agro Company,info@karagro.com,feed,68,,https://karagro.com
26,IQ,Basra,"Masat Al-Basra (Masat Al-Basra Co. for General Contracting, Trading and Import of Chemical Materials)",info@masabasra.com,industrial,68,+964 781 838 3504,https://masabasra.com
27,IQ,Dahuk,Al-Hazim Group,info@alhazimgroup.com,agrochem,65,,https://www.alhazimgroup.com
28,IQ,Baghdad,Reef Al Khadraa Co. for General Trade and Agricultural Supplies,info@reef-alkhadraa.com,agri-input,58,07713688934,https://www.reef-alkhadraa.com
29,IQ,Kirkuk,Ruaad Kirkuk Trading Company,info@ruaad-kirkuk.com.iq,importer/trader,35,+964 770 132 1433,https://www.ruaad-kirkuk.com.iq
30,UZ,Tashkent,ASR Kimyo Agro,info@asragro.uz,agri-input,90,+998 97 044 11 30,https://asragro.uz
31,UZ,Tashkent,Agro Business MChJ (Agro Business LLC),agrobusiness.uz@gmail.com,agri-input,85,+998 93 502 30 05,https://agro-business.uz
32,UZ,Tashkent,Petrochem Agro,office@petrochem.uz,agrochem,85,+998 95 515 00 70,https://petrochem.uz
33,UZ,Tashkent,Alliance Chemical Group,alliance-chemical@acg.uz,industrial,75,+998 94 666 60 06,https://alliancechemical.uz
34,UZ,Tbilisi,Bestservice,chemicalglobal@mail.ru,importer/trader,72,(598) 38 00 13,
35,UZ,Tashkent,Tashkent Chemicals,sales@tashkentchemicals.uz,industrial,65,+998 77 339 88 81,https://tashkentchemicals.uz
36,UZ,Kokand,Indorama Kokand Fertilizers and Chemicals,ikf@uz.indorama.com,agrochem,55,+998 73 543 9000,https://indoramakokandfertilizer.com
37,UZ,Tashkent,Arsoid Optima Trade LLC,info@arsoid.uz,importer/trader,55,,https://arsoid.uz
38,UZ,Tashkent,Elektroxim Kompleks Plus LLC,kfi1@mail.ru,importer/trader,55,,https://himproduct.uz
39,UZ,Tashkent,Merit Chemicals (Merit Kimyo Invest LLC),zohid@meritkimyo.uz,importer/trader,55,,https://meritchemicals.uz
40,UZ,Tashkent,ETC U-STAN Foreign Enterprise LLC,info-uz@utsrus.com,importer/trader,55,,https://utsrus.com
41,KZ,Almaty,TOO Kompaniya CEMS (CEMS Company LLP),87714444324@mail.ru,importer/trader,88,+7 727 221 9398,https://cems.kz
42,KZ,"Karasay district, Almaty region",AO AsiaAgroFood (АзияАгроФуд),aaf@aaf.kz,feed,75,+7 727 321 0022,http://aaf.kz
43,KZ,Almaty (12 regional warehouses),Agromart LLP (АГРОМАРТ),support@agro-mart.kz,agri-input,74,8-800-080-99-77,https://agro-mart.kz
44,KZ,Astana,OpenTrade LLP,sales@opentrade.kz,agri-input,73,+7 771 502 5555,https://opentrade.kz
45,KZ,Almaty,TOO KosAgroCommerce (КосАгроКоммерц),info@kosagro.kz,agrochem,71,+7 747 911 3033,https://kosagro.kz
46,KZ,Almaty (10 regional warehouses),CEMEX Engineering (cemex.kz),support@cemex.kz,agri-input,70,8-800-080-99-55,https://cemex.kz
47,KZ,Astana,Eurasian Chemical Group LLP (EC GROUP),info@ecgroup.kz,agrochem,68,+7 700 797 2480,https://ecgroup.kz
48,KZ,Astana,GK VS KZ / Velund Steel LLP (gkws.kz),info@gkws.kz,industrial,66,+7 771 210 1879,https://gkws.kz
49,KZ,Almaty,"TOO Khimiya i Tekhnologiya (Chemistry & Technology LLP, cht.kz)",info@cht.kz,industrial,65,+7 727 357 3799,https://www.cht.kz
50,KZ,Shymkent/Almaty,Zeleniy Dom (Green House / Zeldom) LLP,zeldom2025@gmail.com,agri-input,63,,https://www.zeldom.kz
51,KZ,Almaty,TOO BHI-Service,info@bhi.kz,industrial,62,+7 702 222 5551,https://bhi.kz
52,KZ,Uralsk (Oral),ATC Group of Companies (Intertorg.kz),info@intertorg.kz,industrial,58,+7 707 545 0282,https://intertorg.kz
53,TM,Ashgabat,"""Daýhan Sarpasy"" DH",dayhansarpasydh@gmail.com,feed,85,+99312227491,http://www.dayhansarpasy.com.tm
54,TM,Ashgabat,Kuwwatly Yurt,kuwwatlyyurt.hj@gmail.com,agri-input,68,+99312480463,
55,TM,Ashgabat,"Individual Enterprise ""Berk Gerden""",sales@berkmembrane.com,industrial,38,+99365681171,https://berkmembrane.com/
56,TJ,Guliston,Farovon Holding Group,info@farovon.tj,feed,80,+992 777 17 31 31,https://farovon.tj/
57,TJ,Khujand (Bobojon Gafurov),LLC Ordi Fatir,info@ordifatir.com,feed,78,,https://fatir.tj/en/opening/
58,KG,Bishkek,Agro Style,uzagrokg@mail.ru,agri-input,80,+996 779 939 360,https://agrostyle.kg
59,KG,Bishkek,Агромаркет №1 (Agromarket #1),admin@agro-market.kg,agri-input,78,,https://agro-market.kg
60,KG,Bishkek,ОсОО «Химия и Технология» (CHT),info@cht.kg,industrial,66,+996 (312) 96 05 05,https://cht.kg
61,KG,Bishkek,ОЮЛ Кыргызская Ассоциация поставщиков удобрений (Kyrgyz Fertilizer Suppliers Association),info@cci.kg,tender,50,+996 312 576162,
62,AZ,Baku,AZCHEMCO LLC,office@azchemco.az,agrochem,88,+994 99 369 36 93,https://www.azchemco.az/en
63,AZ,Baku,AISCO / Gubre.az (Aqrar Innovasiya ve Techizat Sirketi),gubre@gubre.az,agri-input,85,+994 50 828 28 28,https://gubre.az/
64,AZ,Baku,AGROVET Azerbaijan,info@agrovetazerbaijan.com,feed,82,+994 55 252 43 13,https://agrovetazerbaijan.az/en/
65,AZ,Xirdalan,VETAGRO MMC,office@vetagro.az,feed,78,+994 10 510 00 60,https://vetagro.az/en/
66,AZ,Baku,AqroBioCore MMC,info@aqrobiocore.az,agri-input,75,+994 99 310 95 00,https://aqrobiocore.az/en/
67,AZ,Siyazan,Siyazan Broyler OJSC,info@siyazanbroiler.com,feed,68,+994 12 440 49 99,https://siyazantoyuq.az/
68,AZ,Ucar,Azerbaijan Poultry Company LLC (Marcan brand),info@apc.az,feed,65,+994 50 261 06 00,https://www.apc.az/
69,AZ,Baku,Chem Trade LLC,info@chemtrade.az,importer/trader,55,+994 50 261 23 39,https://chemtrade.az/
70,AZ,Baku,BABA LAB MMC,info@babalab.az,industrial,48,+994 50 385 05 27,https://babalab.az/
71,AZ,Baku,AZSEEDS LLC,info@azseeds.az,agri-input,42,+994 12 566 00 22,https://www.azseeds.az/en/
72,AM,Yerevan,Agrimatco Armenia,agrimatco.armenia@agrimatco-eu.com,agri-input,80,,https://agrimatco.am/en/
73,AM,Yerevan,AgroProf LLC,agroprofarmenia@gmail.com,agri-input,78,+374 94 807555,https://agroprof.am/en/home/
74,AM,Yerevan,AGROINPUT LLC (agroinput.am),agroinput@mail.ru,agri-input,78,+374 60 545455,https://agroinput.am/en/
75,AM,Yerevan,Natali Agro LLC,info@nataliagro.am,agri-input,75,+374 77 685060,https://nataliagro.am/
76,AM,"Jrarbi, Armavir Region",Araks (Araxpf) Poultry Factory,info@araxpf.am,feed,72,+374 60 508888,https://araxpf.am/en/
